fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
-0.3204,-0.4839,0.147,2.0298,0.1132,0.6465,0.8184,0.7849,0.1337,-0.0757,0.0069,3,1
-0.2432,0.3058,0.56,-0.1772,-0.9715,-1.4382,-1.7118,-1.0661,0.5691,-1.0838,1.7677,3,1
1.0682,1.2777,0.2159,2.1244,0.0276,0.2803,4.4368,1.8021,-1.1103,0.6635,0.4261,3,1
-0.0889,3.2519,-1.8487,0.054,0.7412,-1.5509,-1.8002,1.1284,1.1289,-0.0757,-0.2447,3,0
3.3824,1.4599,2.3493,-0.6817,0.5129,-1.1565,-1.2163,2.0355,0.1959,0.2603,-1.2509,3,0
0.0653,3.8897,-1.8487,-0.7027,0.1418,-0.593,-1.181,0.7849,0.5691,0.1259,-0.6639,3,0
-0.7832,-0.6662,0.2159,-0.997,-0.1437,-0.3677,-0.0839,-1.0327,0.9423,-0.6806,0.4261,3,1
0.2968,0.8525,0.3535,-0.8919,-0.629,-1.4382,-1.0394,-0.7126,-1.0481,0.0587,-0.077,3,1
-0.8604,-0.4839,-0.4723,-0.5346,-0.2579,14.5636,5.7373,-0.5191,1.3777,0.7308,0.0069,3,1
1.4539,1.5206,0.4223,-0.8078,0.2845,0.1958,1.1723,0.7015,0.0715,-1.0166,-1.6701,3,1
0.1425,5.1349,-2.1928,-0.2508,1.1694,-1.4382,-1.8002,0.6348,2.5595,0.0587,0.1746,3,0
0.5282,1.8244,0.9729,1.0839,5.3657,0.1394,1.9685,1.2017,-2.1676,1.4028,-1.167,3,1
2.4567,0.6095,0.6976,-0.8289,2.5396,0.1958,-1.1986,1.2084,1.0045,2.2093,-0.4962,3,0
0.2968,7.5344,-2.1928,-0.7027,2.3113,-1.4382,-1.8887,0.0211,1.7509,-0.8822,0.3423,3,0
0.2196,-0.1195,-0.5412,-0.1772,-0.0866,-1.2692,0.323,0.368,-0.4883,-0.2101,-1.167,3,1
